File,Result
p2.4.a.txt,10
p2.4.b.txt,95
p2.4.c.txt,105
p2.4.d.txt,135
p2.4.e.txt,165
p2.4.f.txt,190
p2.4.g.txt,215
p2.4.h.txt,215
p2.4.i.txt,225
p2.4.j.txt,225
p2.4.k.txt,275
p1.2.a.txt,0
p1.2.b.txt,15
p1.2.c.txt,15
p1.2.d.txt,25
p1.2.e.txt,40
p1.2.f.txt,85
p1.2.g.txt,60
p1.2.h.txt,105
p1.2.i.txt,90
p1.2.j.txt,130
p1.2.k.txt,135
p1.2.l.txt,175
p1.2.m.txt,180
p1.2.n.txt,185
p1.2.o.txt,195
p1.2.p.txt,200
p1.2.q.txt,215
p1.2.r.txt,230
p1.3.a.txt,0
p1.3.b.txt,0
p1.3.c.txt,15
p1.3.d.txt,15
p1.3.e.txt,35
p1.3.f.txt,35
p1.3.g.txt,50
p1.3.h.txt,75
p1.3.i.txt,125
p1.3.j.txt,125
p1.3.k.txt,105
p1.3.l.txt,150
p1.3.m.txt,125
p1.3.n.txt,155
p1.3.o.txt,175
p1.3.p.txt,180
p1.3.q.txt,170
p1.3.r.txt,220
p1.4.a.txt,0
p1.4.b.txt,0
p1.4.c.txt,0
p1.4.d.txt,15
p1.4.e.txt,15
p1.4.f.txt,25
p1.4.g.txt,40
p1.4.h.txt,45
p1.4.i.txt,60
p1.4.j.txt,70
p1.4.k.txt,90
p1.4.l.txt,150
p1.4.m.txt,160
p1.4.n.txt,115
p1.4.o.txt,135
p1.4.p.txt,145
p1.4.q.txt,190
p1.4.r.txt,160
p3.2.a.txt,90
p3.2.b.txt,150
p3.2.c.txt,150
p3.2.d.txt,200
p3.2.e.txt,220
p3.2.f.txt,230
p3.2.g.txt,300
p3.2.h.txt,330
p3.2.i.txt,430
p3.2.j.txt,440
p3.2.k.txt,520
p3.2.l.txt,360
p3.2.m.txt,440
p3.2.n.txt,420
p3.2.o.txt,430
p3.2.p.txt,390
p3.2.q.txt,490
p3.2.r.txt,500
p3.2.s.txt,580
p3.2.t.txt,640
p3.3.a.txt,40
p3.3.b.txt,90
p3.3.c.txt,120
p3.3.d.txt,200
p3.3.e.txt,200
p3.3.f.txt,250
p3.3.g.txt,250
p3.3.h.txt,310
p3.3.i.txt,310
p3.3.j.txt,310
p3.3.k.txt,380
p3.3.l.txt,460
p3.3.m.txt,430
p3.3.n.txt,530
p3.3.o.txt,640
p3.3.p.txt,620
p3.3.q.txt,750
p3.3.r.txt,760
p3.3.s.txt,510
p3.3.t.txt,530
p3.4.a.txt,20
p3.4.b.txt,40
p3.4.c.txt,100
p3.4.d.txt,110
p3.4.e.txt,140
p3.4.f.txt,230
p3.4.g.txt,290
p3.4.h.txt,230
p3.4.i.txt,310
p3.4.j.txt,300
p3.4.k.txt,320
p3.4.l.txt,380
p3.4.m.txt,440
p3.4.n.txt,380
p3.4.o.txt,410
p3.4.p.txt,550
p3.4.q.txt,590
p3.4.r.txt,520
p3.4.s.txt,620
p3.4.t.txt,840
